country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","24-09-2024 10:00:00",12.938539,77.590100,OZONE,13,39,19
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","24-09-2024 10:00:00",16.7602,77.1428,OZONE,18,20,19
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","24-09-2024 10:00:00",8.563700,76.886500,OZONE,36,36,36
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","24-09-2024 10:00:00",12.9135218,77.5950804,OZONE,16,25,17
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","24-09-2024 10:00:00",13.029152,77.585901,OZONE,3,9,5
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","24-09-2024 10:00:00",14.475800,75.905200,OZONE,22,24,23
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","24-09-2024 10:00:00",11.55358,76.55521,OZONE,11,30,12
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","24-09-2024 10:00:00",12.889250,74.853000,OZONE,29,30,29
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB","24-09-2024 10:00:00",14.791800,75.389600,OZONE,18,21,18
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","24-09-2024 10:00:00",23.707909,86.414670,OZONE,NA,NA,NA
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","24-09-2024 10:00:00",19.16485,73.23409,OZONE,4,36,4
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","24-09-2024 10:00:00",23.108440,77.511428,OZONE,26,29,27
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","24-09-2024 10:00:00",22.624758,75.675238,OZONE,27,68,35
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","24-09-2024 10:00:00",22.4310,75.5213,OZONE,22,72,33
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","24-09-2024 10:00:00",24.58434363,80.8549414,OZONE,13,30,21
India,"Madhya Pradesh",Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB","24-09-2024 10:00:00","23.182719 ","75.768218 ",OZONE,58,62,60
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","24-09-2024 10:00:00",23.233584,77.400574,OZONE,16,78,43
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","24-09-2024 10:00:00",20.9402359,77.7895248,OZONE,1,46,2
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB","24-09-2024 10:00:00",20.939198,77.765701,OZONE,1,46,1
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","24-09-2024 10:00:00",19.875620,75.387310,OZONE,NA,NA,NA
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","24-09-2024 10:00:00",19.8389439,75.244448,OZONE,8,43,13
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","24-09-2024 10:00:00",23.142888,79.916147,OZONE,8,91,29
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","24-09-2024 10:00:00",23.210494,77.425409,OZONE,8,60,31
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","24-09-2024 10:00:00",19.0632143,72.8456324,OZONE,1,36,5
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","24-09-2024 10:00:00",19.23241,72.86895,NH3,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","24-09-2024 10:00:00",18.614767,73.799516,OZONE,20,43,29
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","24-09-2024 10:00:00",18.605770,73.749976,OZONE,9,47,17
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","24-09-2024 10:00:00",19.962900,79.298714,OZONE,35,38,37
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","24-09-2024 10:00:00",20.918946,74.776388,OZONE,9,24,12
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","24-09-2024 10:00:00",19.047000,72.874600,OZONE,8,17,10
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","24-09-2024 10:00:00",19.10861,72.83622,OZONE,2,4,3
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","24-09-2024 10:00:00",18.39963,76.57452,OZONE,15,52,27
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB","24-09-2024 10:00:00",20.021503,73.813844,OZONE,9,50,16
